Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"Water refill procedure for conche and ball mills after facility move","What is the correct process to refill the conche and ball mills with water after relocating? A colleague who worked at Dandelion mentioned their conche got dented during refill.","Ball Mill: Open the internal valve (after the external valve) to allow water entry. Then open the external valve and monitor the water level through the sight glass. Once at maximum, turn on the water pump and wait until you hear water returning to the internal tank. Check that level is at maximum, then close the internal valve. Conche: Connect the hose to the drain valve and use it to allow water in. Wait until the level reaches maximum, then turn on the water pump and check the level again. Important: All pipe connections must be ready before turning on the water pump.",General - All Equipment,Mechanical,medium,"Packint Tech Support - Franklin",2022-01-03,Operation,"water refill, conche, ball mill, water level, sight glass, pump, facility move"
"Ball Mill 130 valve disconnection order for transport","Which valve should we disconnect first when preparing the 130kg ball mill for transport?","No specific order for electrical disconnection, but for mechanical disconnection, remove the upper valve first, then the lower one. The valves are always connected to power on the 130kg mill.",Ball Mill,Mechanical,low,"Packint Tech Support - Franklin",2022-01-03,Installation,"valve, disconnection, transport, upper valve, lower valve, 130kg"
"Conche strapping for transport - remove cover first","Can transport straps go over the top of the conche for moving?","Remove the cover first, then use the straps on top. Do not put straps on the ingredient loading hopper - it is not a good place for securing. Use two straps on the top without the cover for safe transport.",Conche,Mechanical,medium,"Packint Tech Support - Franklin",2022-01-03,Installation,"strapping, transport, cover removal, hopper, moving"
"Conche forklift lifting points","Where are the best places to lift the conche with a forklift?","Using the forklift, position it between the brackets - one for the tank and one for the recirculation pump. The forklift must be centered between these areas. Alternative: disassemble the pump and associated pipes including the filter, then use the forklift only for the conche tank. Pipes can remain attached during the move.",Conche,Mechanical,medium,"Packint Tech Support - Franklin",2022-01-07,Installation,"forklift, lifting points, brackets, pump, transport, moving"
"Roaster heat vent exhaust routing - side wall vs roof","Can the roaster heat vent exhaust be routed out the side of the building instead of through the roof?","Yes, it can be vented out the side, but depending on height and angle it may need an external fan to help draw the smoke out. Ideal setup is through the roof where everything rises naturally. A 45-degree angle to the side wall should work fine. A 90-degree angle (horizontal) would be problematic. Vertically 20 feet is also fine because smoke and heat naturally rise. Also check local building codes - some jurisdictions have rules about exhaust placement, especially if the exterior wall faces a high-traffic area like a street or parking lot.",Roaster,Mechanical,medium,"Packint Tech Support - Alvaro",2022-01-10,Installation,"heat vent, exhaust, side wall, roof, chimney, building codes, fan"
"Ball mill oil level check - 130kg vs 50kg","How do we determine proper oil levels for both the 130kg and 50kg ball mills?","130kg Mill: The oil level should be between the two lines on the sight bolt, closer to the lower line. 50kg Mill: There is a level window on the front of the gearbox - the oil level should be at half of the window.",Ball Mill,Preventive Maintenance,low,"Packint Tech Support - Juri",2022-01-22,Preventive Maintenance,"oil level, gearbox, sight glass, 130kg, 50kg, maintenance"
"Conche water level drops after filling with EV button","After topping off the conche water level using the EV button, the level immediately drops again. Is that normal?","Yes, that is how it has always worked. When you fill with the EV button, wait until water comes from the drainage to know it is full. Then the level will settle to approximately 3/4 of the sight glass - that is the normal maximum fill level.",Conche,Mechanical,low,"Packint Tech Support - Alvaro",2022-02-23,Operation,"water level, EV button, sight glass, drainage, conche fill"
"Sifter heating band not working","One of the heating bands on the sifter (front one) is not warming up even with the potentiometer dial set to maximum.","If the potentiometer (dial) is set to max and the heating band is not warming, that section needs to be replaced. A quotation for the replacement heating belt was sent via email.",Sifter,Electrical,medium,"Packint Tech Support - Alvaro / Martina",2022-02-24,Repair,"heating band, potentiometer, sifter, replacement, not warming"
"Conche water temperature and product temperature relationship","The conche water temperature and product temperature show a big difference. How do they relate?","The water temperature is the heating driver - if you want to raise the product temperature, increase the water temperature. The maximum product temperature setting is used for cooling. It must remain at a maximum value so the machine can call cold water, which also keeps the internal water level constant. The machine must be connected online for remote verification of proper operation.",Conche,Mechanical,medium,"Packint Tech Support - Riccardo Rebolini",2022-02-28,Operation,"water temperature, product temperature, heating driver, cooling, set point"
"Reconnecting machines to WiFi after facility move - Sevio router","How do we reconnect the machines to WiFi at the new facility using the Sevio routers?","Each machine has a Sevio router with an antenna. For each machine: 1) Get the correct .txt configuration file (contains WiFi credentials). 2) Put only that file on a FAT32-formatted USB drive. 3) Insert the USB into the port underneath the Sevio router (not the touchscreen USB). 4) Leave the USB in for at least 2 minutes before removing. 5) Check the three LEDs on the router to confirm connection. The WiFi network name in the config file must match exactly (case-sensitive). If the name is wrong, new config files must be generated server-side.",General - All Equipment,Software/PLC,medium,"Packint Tech Support - Franklin / Alvaro / Juri",2022-03-07,Installation,"Sevio, router, WiFi, USB, FAT32, network, configuration, reconnect"
